District,Crop,Market_Price_Per_Quintal
Dakshina Kannada,Sponge gourd,3116
Dakshina Kannada,Sugarcane,343
Dakshina Kannada,Surat Beans(Papadi),1264
Dakshina Kannada,Sweet Pumpkin,2434
Dakshina Kannada,Tamarind Fruit,1047
Dakshina Kannada,Tender Coconut,1394
Dakshina Kannada,Thondekai,1371
Dakshina Kannada,Tomatao,3062
Dakshina Kannada,Water Melon,3211
Dakshina Kannada,Wheat,2345
Dakshina Kannada,Cabbage,3271
Dakshina Kannada,Carrot,1265
Dakshina Kannada,Cauliflower,1456
Dakshina Kannada,Coconut,1179
Dakshina Kannada,Ginger(Green),11301
Dakshina Kannada,Green Peas,3339
Dakshina Kannada,Marigold(Calcutta),1620
Dakshina Kannada,Marigold(loose),3194
Dakshina Kannada,Pineapple,2558
Dakshina Kannada,Potato,3226
Dakshina Kannada,Raddish,1811
Dakshina Kannada,Rose(Local),3277
Dakshina Kannada,Rubber,2270
Dakshina Kannada,Seemebadnekai,1432
Dakshina Kannada,Spinach,1561
Dakshina Kannada,Sweet Potato,3380
Dakshina Kannada,Turmeric,8657
Dakshina Kannada,White Peas,3161
Dakshina Kannada,Beans,1790
Dakshina Kannada,Jute,1449
Dakshina Kannada,Paddy(Basmati),2393
Dakshina Kannada,Paddy(Common),2319
Dakshina Kannada,Pointed gourd(Parval),2042
Dakshina Kannada,Rice,2229
Davanagere,Bajra(Pearl Millet/Cumbu),5386
Davanagere,Banana,2512
Davanagere,Bhindi(Ladies Finger),641
Davanagere,Bitter gourd,1999
Davanagere,Bottle gourd,2532
Davanagere,Brinjal,3238
Davanagere,Capsicum,2862
Davanagere,Cucumber(Kheera),1918
Davanagere,Green Avare(W),2375
Davanagere,Green Chilli,906
Davanagere,Groundnut,2275
Davanagere,Guava,2255
Davanagere,Jowar(Sorghum),4499
Davanagere,Karbuja(Musk Melon),3378
Davanagere,Lemon,824
Davanagere,Maize,2211
Davanagere,Mango,3960
Davanagere,Mango(Raw-Ripe),4223
Davanagere,Millets,4663
Davanagere,Mustard,2756
Davanagere,Onion,760
Davanagere,Onion Green,666
Davanagere,Orange,2626
Davanagere,Papaya,2110
Davanagere,Papaya(Raw),2885
Davanagere,Pomegranate,1532
Davanagere,Pumpkin,1342
Davanagere,Red Gram,7911
Davanagere,Ridgegourd(Tori),2920
Davanagere,Round gourd,659
Davanagere,Season Leaves,3279
Davanagere,"Sesamum(Sesame,Gingelly,Til)",2202
Davanagere,Snakegourd,2973
Davanagere,Soanf,2928
Davanagere,Soyabean,574
Davanagere,Sponge gourd,2249
Davanagere,Sugarcane,336
Davanagere,Surat Beans(Papadi),2551
Davanagere,Sweet Pumpkin,1055
Davanagere,Tamarind Fruit,1943
Davanagere,Tender Coconut,2278
Davanagere,Thondekai,871
Davanagere,Tomatao,3061
Davanagere,Water Melon,1826
Davanagere,Wheat,2631
Davanagere,Cabbage,1109
Davanagere,Carrot,1090
Davanagere,Cauliflower,2775
Davanagere,Coconut,585
Davanagere,Ginger(Green),10618
Davanagere,Green Peas,823
Davanagere,Marigold(Calcutta),3073
Davanagere,Marigold(loose),3368
Davanagere,Pineapple,3978
Davanagere,Potato,2904
Davanagere,Raddish,2350
Davanagere,Rose(Local),3104
Davanagere,Rubber,3415
Davanagere,Seemebadnekai,1509
Davanagere,Spinach,501
Davanagere,Sweet Potato,605
Davanagere,Turmeric,10023
Davanagere,White Peas,2267
Davanagere,Beans,2362
Davanagere,Jute,3038
Davanagere,Paddy(Basmati),2632
Davanagere,Paddy(Common),2508
Davanagere,Pointed gourd(Parval),2384
Davanagere,Rice,2470
Dharwad,Bajra(Pearl Millet/Cumbu),5305
Dharwad,Banana,3294
Dharwad,Bhindi(Ladies Finger),1382
Dharwad,Bitter gourd,2781
Dharwad,Bottle gourd,2960
Dharwad,Brinjal,2654
Dharwad,Capsicum,3309
Dharwad,Cucumber(Kheera),743
Dharwad,Green Avare(W),1026
Dharwad,Green Chilli,1374
Dharwad,Groundnut,3271
Dharwad,Guava,636
Dharwad,Jowar(Sorghum),5115
Dharwad,Karbuja(Musk Melon),1427
Dharwad,Lemon,1696
Dharwad,Maize,2224
Dharwad,Mango,4265
Dharwad,Mango(Raw-Ripe),2466
Dharwad,Millets,4927
Dharwad,Mustard,3438
Dharwad,Onion,2265
Dharwad,Onion Green,1270
Dharwad,Orange,2618
Dharwad,Papaya,1468
Dharwad,Papaya(Raw),729
Dharwad,Pomegranate,798
Dharwad,Pumpkin,2532
Dharwad,Red Gram,8223
Dharwad,Ridgegourd(Tori),576
Dharwad,Round gourd,968
Dharwad,Season Leaves,1472
Dharwad,"Sesamum(Sesame,Gingelly,Til)",1907
Dharwad,Snakegourd,2725
Dharwad,Soanf,2301
Dharwad,Soyabean,1815
Dharwad,Sponge gourd,3152
Dharwad,Sugarcane,370
Dharwad,Surat Beans(Papadi),2382
Dharwad,Sweet Pumpkin,3112
Dharwad,Tamarind Fruit,1955
Dharwad,Tender Coconut,1830
Dharwad,Thondekai,1367
Dharwad,Tomatao,1116
Dharwad,Water Melon,1457
Dharwad,Wheat,2490
Dharwad,Cabbage,2582
Dharwad,Carrot,1628
Dharwad,Cauliflower,1778
Dharwad,Coconut,2824
Dharwad,Ginger(Green),11967
Dharwad,Green Peas,1883
Dharwad,Marigold(Calcutta),3231
Dharwad,Marigold(loose),3388
Dharwad,Pineapple,2301
Dharwad,Potato,2775
Dharwad,Raddish,3003
Dharwad,Rose(Local),690
Dharwad,Rubber,2479
Dharwad,Seemebadnekai,933
Dharwad,Spinach,1477
Dharwad,Sweet Potato,2204
Dharwad,Turmeric,7040
Dharwad,White Peas,2117
Dharwad,Beans,561
Dharwad,Jute,1299
Dharwad,Paddy(Basmati),2597
Dharwad,Paddy(Common),2235
Dharwad,Pointed gourd(Parval),3222
Dharwad,Rice,2559
Gadag,Bajra(Pearl Millet/Cumbu),4982
Gadag,Banana,3343
Gadag,Bhindi(Ladies Finger),1589
Gadag,Bitter gourd,863
Gadag,Bottle gourd,3236
Gadag,Brinjal,844
Gadag,Capsicum,2399
Gadag,Cucumber(Kheera),2622
Gadag,Green Avare(W),2343
Gadag,Green Chilli,3117
Gadag,Groundnut,2554
Gadag,Guava,2722
Gadag,Jowar(Sorghum),4771
Gadag,Karbuja(Musk Melon),1075
Gadag,Lemon,1593
Gadag,Maize,2326
Gadag,Mango,4043
Gadag,Mango(Raw-Ripe),3153
Gadag,Millets,5184
Gadag,Mustard,2555
Gadag,Onion,2957
Gadag,Onion Green,2930
Gadag,Orange,1197
Gadag,Papaya,3280
Gadag,Papaya(Raw),3124
Gadag,Pomegranate,3428
Gadag,Pumpkin,1932
Gadag,Red Gram,7917
Gadag,Ridgegourd(Tori),2905
Gadag,Round gourd,502
Gadag,Season Leaves,797
Gadag,"Sesamum(Sesame,Gingelly,Til)",3215
Gadag,Snakegourd,1762
Gadag,Soanf,1410
Gadag,Soyabean,506
Gadag,Sponge gourd,1392
Gadag,Sugarcane,371
Gadag,Surat Beans(Papadi),1712
Gadag,Sweet Pumpkin,3275
Gadag,Tamarind Fruit,2296
Gadag,Tender Coconut,2440
Gadag,Thondekai,3097
Gadag,Tomatao,2964
Gadag,Water Melon,1829
Gadag,Wheat,2166
Gadag,Cabbage,1630
Gadag,Carrot,2206
Gadag,Cauliflower,1795
Gadag,Coconut,1808
Gadag,Ginger(Green),11703
Gadag,Green Peas,2851
Gadag,Marigold(Calcutta),709
Gadag,Marigold(loose),1271
Gadag,Pineapple,2849
Gadag,Potato,1021
Gadag,Raddish,3173
Gadag,Rose(Local),1352
Gadag,Rubber,2304
Gadag,Seemebadnekai,1425
Gadag,Spinach,1104
Gadag,Sweet Potato,1025
Gadag,Turmeric,10654
Gadag,White Peas,2402
Gadag,Beans,761
Gadag,Jute,680
Gadag,Paddy(Basmati),2294
Gadag,Paddy(Common),2517
Gadag,Pointed gourd(Parval),1501
Gadag,Rice,2491
Hassan,Bajra(Pearl Millet/Cumbu),5142
Hassan,Banana,3551
Hassan,Bhindi(Ladies Finger),2555
Hassan,Bitter gourd,2418
Hassan,Bottle gourd,2186
Hassan,Brinjal,1898
Hassan,Capsicum,2335
Hassan,Cucumber(Kheera),1786
Hassan,Green Avare(W),2179
Hassan,Green Chilli,2903
Hassan,Groundnut,1258
Hassan,Guava,1745
Hassan,Jowar(Sorghum),5188
Hassan,Karbuja(Musk Melon),650
Hassan,Lemon,818
Hassan,Maize,2307
Hassan,Mango,2954
Hassan,Mango(Raw-Ripe),3702
Hassan,Millets,4902
Hassan,Mustard,2787
Hassan,Onion,3050
Hassan,Onion Green,1278
Hassan,Orange,3203
Hassan,Papaya,1688
Hassan,Papaya(Raw),530
Hassan,Pomegranate,3101
Hassan,Pumpkin,1001
Hassan,Red Gram,8264
Hassan,Ridgegourd(Tori),2163
Hassan,Round gourd,3056
Hassan,Season Leaves,1650
Hassan,"Sesamum(Sesame,Gingelly,Til)",1286
Hassan,Snakegourd,2884
Hassan,Soanf,2500
Hassan,Soyabean,3349
Hassan,Sponge gourd,3200
Hassan,Sugarcane,355
Hassan,Surat Beans(Papadi),1668
Hassan,Sweet Pumpkin,935
Hassan,Tamarind Fruit,2326
Hassan,Tender Coconut,1960
Hassan,Thondekai,535
Hassan,Tomatao,2981
Hassan,Water Melon,3343
Hassan,Wheat,2382
Hassan,Cabbage,1097
Hassan,Carrot,1178
Hassan,Cauliflower,2106
Hassan,Coconut,3069
Hassan,Ginger(Green),9460
Hassan,Green Peas,557
Hassan,Marigold(Calcutta),1775
Hassan,Marigold(loose),1364
Hassan,Pineapple,2638
Hassan,Potato,2335
Hassan,Raddish,1972
Hassan,Rose(Local),2764
Hassan,Rubber,1101
Hassan,Seemebadnekai,2519
Hassan,Spinach,1839
Hassan,Sweet Potato,1449
Hassan,Turmeric,11608
Hassan,White Peas,844
Hassan,Beans,1927
Hassan,Jute,1308
Hassan,Paddy(Basmati),2382
Hassan,Paddy(Common),2373
Hassan,Pointed gourd(Parval),3246
Hassan,Rice,2541
Haveri,Bajra(Pearl Millet/Cumbu),4415
Haveri,Banana,2978
Haveri,Bhindi(Ladies Finger),1669
Haveri,Bitter gourd,1248
Haveri,Bottle gourd,2269
Haveri,Brinjal,1532
Haveri,Capsicum,1797
Haveri,Cucumber(Kheera),1512
Haveri,Green Avare(W),2009
Haveri,Green Chilli,2773
Haveri,Groundnut,677
Haveri,Guava,2944
Haveri,Jowar(Sorghum),4364
Haveri,Karbuja(Musk Melon),3575
Haveri,Lemon,1915
Haveri,Maize,2510
Haveri,Mango,4161
Haveri,Mango(Raw-Ripe),3014
Haveri,Millets,5136
Haveri,Mustard,2005
Haveri,Onion,1514
Haveri,Onion Green,2115
Haveri,Orange,2582
Haveri,Papaya,900
Haveri,Papaya(Raw),2459
Haveri,Pomegranate,1078
Haveri,Pumpkin,2429
Haveri,Red Gram,8229
Haveri,Ridgegourd(Tori),1186
Haveri,Round gourd,726
Haveri,Season Leaves,2322
Haveri,"Sesamum(Sesame,Gingelly,Til)",1785
Haveri,Snakegourd,1496
Haveri,Soanf,1505
Haveri,Soyabean,642
Haveri,Sponge gourd,601
Haveri,Sugarcane,372
Haveri,Surat Beans(Papadi),2152
Haveri,Sweet Pumpkin,2928
Haveri,Tamarind Fruit,2694
Haveri,Tender Coconut,2535
Haveri,Thondekai,2257
Haveri,Tomatao,3328
Haveri,Water Melon,1782
Haveri,Wheat,2656
Haveri,Cabbage,1094
Haveri,Carrot,2396
Haveri,Cauliflower,2951
Haveri,Coconut,2300
Haveri,Ginger(Green),12158
Haveri,Green Peas,2834
Haveri,Marigold(Calcutta),2404
Haveri,Marigold(loose),3091
Haveri,Pineapple,2729
Haveri,Potato,2854
Haveri,Raddish,2224
Haveri,Rose(Local),3081
Haveri,Rubber,953
Haveri,Seemebadnekai,1337
Haveri,Spinach,2164
Haveri,Sweet Potato,3287
Haveri,Turmeric,12149
Haveri,White Peas,1726
Haveri,Beans,1543
Haveri,Jute,2677
Haveri,Paddy(Basmati),2530
Haveri,Paddy(Common),2293
Haveri,Pointed gourd(Parval),2025
Haveri,Rice,2280
Kalaburagi(Gulbarga),Bajra(Pearl Millet/Cumbu),5362
Kalaburagi(Gulbarga),Banana,3187
Kalaburagi(Gulbarga),Bhindi(Ladies Finger),1483
Kalaburagi(Gulbarga),Bitter gourd,2995
Kalaburagi(Gulbarga),Bottle gourd,2079
Kalaburagi(Gulbarga),Brinjal,733
Kalaburagi(Gulbarga),Capsicum,1061
Kalaburagi(Gulbarga),Cucumber(Kheera),1071
Kalaburagi(Gulbarga),Green Avare(W),751
Kalaburagi(Gulbarga),Green Chilli,3351
Kalaburagi(Gulbarga),Groundnut,2288
Kalaburagi(Gulbarga),Guava,728
Kalaburagi(Gulbarga),Jowar(Sorghum),4238
Kalaburagi(Gulbarga),Karbuja(Musk Melon),1719
Kalaburagi(Gulbarga),Lemon,2911
Kalaburagi(Gulbarga),Maize,2355
Kalaburagi(Gulbarga),Mango,3110
Kalaburagi(Gulbarga),Mango(Raw-Ripe),4141
Kalaburagi(Gulbarga),Millets,5291
Kalaburagi(Gulbarga),Mustard,2296
Kalaburagi(Gulbarga),Onion,1998
Kalaburagi(Gulbarga),Onion Green,1872
Kalaburagi(Gulbarga),Orange,929
Kalaburagi(Gulbarga),Papaya,1464
Kalaburagi(Gulbarga),Papaya(Raw),857
Kalaburagi(Gulbarga),Pomegranate,2287
Kalaburagi(Gulbarga),Pumpkin,3341
Kalaburagi(Gulbarga),Red Gram,7920
Kalaburagi(Gulbarga),Ridgegourd(Tori),1665
Kalaburagi(Gulbarga),Round gourd,1660
Kalaburagi(Gulbarga),Season Leaves,3394
Kalaburagi(Gulbarga),"Sesamum(Sesame,Gingelly,Til)",3107
Kalaburagi(Gulbarga),Snakegourd,2419
Kalaburagi(Gulbarga),Soanf,1799
Kalaburagi(Gulbarga),Soyabean,661
Kalaburagi(Gulbarga),Sponge gourd,1697
Kalaburagi(Gulbarga),Sugarcane,359
Kalaburagi(Gulbarga),Surat Beans(Papadi),3093
Kalaburagi(Gulbarga),Sweet Pumpkin,2272
Kalaburagi(Gulbarga),Tamarind Fruit,3030
Kalaburagi(Gulbarga),Tender Coconut,1086
Kalaburagi(Gulbarga),Thondekai,3095
Kalaburagi(Gulbarga),Tomatao,893
Kalaburagi(Gulbarga),Water Melon,3376
Kalaburagi(Gulbarga),Wheat,2505
Kalaburagi(Gulbarga),Cabbage,2686
Kalaburagi(Gulbarga),Carrot,1563
Kalaburagi(Gulbarga),Cauliflower,2347
Kalaburagi(Gulbarga),Coconut,2972
Kalaburagi(Gulbarga),Ginger(Green),10664
Kalaburagi(Gulbarga),Green Peas,2630
Kalaburagi(Gulbarga),Marigold(Calcutta),2153
Kalaburagi(Gulbarga),Marigold(loose),1369
Kalaburagi(Gulbarga),Pineapple,2827
Kalaburagi(Gulbarga),Potato,3260
Kalaburagi(Gulbarga),Raddish,2006
Kalaburagi(Gulbarga),Rose(Local),2619
Kalaburagi(Gulbarga),Rubber,3155
Kalaburagi(Gulbarga),Seemebadnekai,2576
Kalaburagi(Gulbarga),Spinach,1872
Kalaburagi(Gulbarga),Sweet Potato,601
Kalaburagi(Gulbarga),Turmeric,10302
Kalaburagi(Gulbarga),White Peas,3389
Kalaburagi(Gulbarga),Beans,2072
Kalaburagi(Gulbarga),Jute,2775
Kalaburagi(Gulbarga),Paddy(Basmati),2459
Kalaburagi(Gulbarga),Paddy(Common),2667
Kalaburagi(Gulbarga),Pointed gourd(Parval),996
Kalaburagi(Gulbarga),Rice,2682
Kodagu,Bajra(Pearl Millet/Cumbu),5178
Kodagu,Banana,2567
Kodagu,Bhindi(Ladies Finger),2797
Kodagu,Bitter gourd,635
Kodagu,Bottle gourd,2348
Kodagu,Brinjal,2452
Kodagu,Capsicum,1705
Kodagu,Cucumber(Kheera),778
Kodagu,Green Avare(W),2463
Kodagu,Green Chilli,954
Kodagu,Groundnut,1231
Kodagu,Guava,1335
Kodagu,Jowar(Sorghum),5393
Kodagu,Karbuja(Musk Melon),2073
Kodagu,Lemon,608
Kodagu,Maize,2434
Kodagu,Mango,2479
Kodagu,Mango(Raw-Ripe),2627
Kodagu,Millets,4768
Kodagu,Mustard,2727
Kodagu,Onion,822
Kodagu,Onion Green,1445
Kodagu,Orange,1067
Kodagu,Papaya,2813
Kodagu,Papaya(Raw),2277
Kodagu,Pomegranate,1294
Kodagu,Pumpkin,3020
Kodagu,Red Gram,7977
Kodagu,Ridgegourd(Tori),1970
Kodagu,Round gourd,2444
Kodagu,Season Leaves,645
Kodagu,"Sesamum(Sesame,Gingelly,Til)",1187
Kodagu,Snakegourd,2728
Kodagu,Soanf,1548
Kodagu,Soyabean,1257
Kodagu,Sponge gourd,841
Kodagu,Sugarcane,342
Kodagu,Surat Beans(Papadi),3153
Kodagu,Sweet Pumpkin,3115
Kodagu,Tamarind Fruit,1577
Kodagu,Tender Coconut,847
Kodagu,Thondekai,1867
Kodagu,Tomatao,2432
Kodagu,Water Melon,1332
Kodagu,Wheat,2497
Kodagu,Cabbage,1818
Kodagu,Carrot,2924
Kodagu,Cauliflower,2288
Kodagu,Coconut,2702
Kodagu,Ginger(Green),10732
Kodagu,Green Peas,643
Kodagu,Marigold(Calcutta),705
Kodagu,Marigold(loose),1236
Kodagu,Pineapple,2822
Kodagu,Potato,2666
Kodagu,Raddish,3208
Kodagu,Rose(Local),3053
Kodagu,Rubber,2582
Kodagu,Seemebadnekai,620
Kodagu,Spinach,2684
Kodagu,Sweet Potato,1543
Kodagu,Turmeric,9018
Kodagu,White Peas,3378
Kodagu,Beans,2362
Kodagu,Jute,1329
Kodagu,Paddy(Basmati),2204
Kodagu,Paddy(Common),2597
Kodagu,Pointed gourd(Parval),695
Kodagu,Rice,2527
Kolar,Bajra(Pearl Millet/Cumbu),4824
Kolar,Banana,2753
Kolar,Bhindi(Ladies Finger),2579
Kolar,Bitter gourd,3246
Kolar,Bottle gourd,2901
Kolar,Brinjal,3237
Kolar,Capsicum,2719
Kolar,Cucumber(Kheera),2733
Kolar,Green Avare(W),2755
Kolar,Green Chilli,1198
Kolar,Groundnut,3401
Kolar,Guava,2945
Kolar,Jowar(Sorghum),5313
Kolar,Karbuja(Musk Melon),1963
Kolar,Lemon,3234
Kolar,Maize,2183
Kolar,Mango,2693
Kolar,Mango(Raw-Ripe),3813
Kolar,Millets,4740
Kolar,Mustard,2062
Kolar,Onion,1107
Kolar,Onion Green,2817
Kolar,Orange,2636
Kolar,Papaya,855
Kolar,Papaya(Raw),2467
Kolar,Pomegranate,563
Kolar,Pumpkin,550
Kolar,Red Gram,7332
Kolar,Ridgegourd(Tori),2867
Kolar,Round gourd,1622
Kolar,Season Leaves,918
Kolar,"Sesamum(Sesame,Gingelly,Til)",2545
Kolar,Snakegourd,2890
Kolar,Soanf,1056
Kolar,Soyabean,1725
Kolar,Sponge gourd,3356
Kolar,Sugarcane,345
Kolar,Surat Beans(Papadi),1497
Kolar,Sweet Pumpkin,608
Kolar,Tamarind Fruit,828
Kolar,Tender Coconut,795
Kolar,Thondekai,610
Kolar,Tomatao,711
Kolar,Water Melon,2981
Kolar,Wheat,2462
Kolar,Cabbage,1950
Kolar,Carrot,529
Kolar,Cauliflower,845
Kolar,Coconut,3028
Kolar,Ginger(Green),9052
Kolar,Green Peas,2803
Kolar,Marigold(Calcutta),2525
Kolar,Marigold(loose),1168
Kolar,Pineapple,2571
Kolar,Potato,2882
Kolar,Raddish,1910
Kolar,Rose(Local),3356
Kolar,Rubber,1626
Kolar,Seemebadnekai,2635
Kolar,Spinach,3343
Kolar,Sweet Potato,2426
Kolar,Turmeric,11671
Kolar,White Peas,1611
Kolar,Beans,670
Kolar,Jute,2307
Kolar,Paddy(Basmati),2320
Kolar,Paddy(Common),2417
Kolar,Pointed gourd(Parval),3321
Kolar,Rice,2659
Koppal,Bajra(Pearl Millet/Cumbu),4678
Koppal,Banana,2252
Koppal,Bhindi(Ladies Finger),2637
Koppal,Bitter gourd,2476
Koppal,Bottle gourd,678
Koppal,Brinjal,1603
Koppal,Capsicum,845
Koppal,Cucumber(Kheera),2935
Koppal,Green Avare(W),1129
Koppal,Green Chilli,2590
Koppal,Groundnut,1677
Koppal,Guava,1335
Koppal,Jowar(Sorghum),4673
Koppal,Karbuja(Musk Melon),2666
Koppal,Lemon,953
Koppal,Maize,2576
Koppal,Mango,4146
Koppal,Mango(Raw-Ripe),2784
Koppal,Millets,5333
Koppal,Mustard,3044
Koppal,Onion,1025
Koppal,Onion Green,1252
Koppal,Orange,1924
Koppal,Papaya,1213
Koppal,Papaya(Raw),2265
Koppal,Pomegranate,766
Koppal,Pumpkin,2323
Koppal,Red Gram,7494
Koppal,Ridgegourd(Tori),1851
Koppal,Round gourd,508
Koppal,Season Leaves,1269
Koppal,"Sesamum(Sesame,Gingelly,Til)",2615
Koppal,Snakegourd,2932
Koppal,Soanf,2099
Koppal,Soyabean,2796
Koppal,Sponge gourd,2079
Koppal,Sugarcane,353
Koppal,Surat Beans(Papadi),1739
Koppal,Sweet Pumpkin,519
Koppal,Tamarind Fruit,1596
Koppal,Tender Coconut,1586
Koppal,Thondekai,1742
Koppal,Tomatao,1151
Koppal,Water Melon,724
Koppal,Wheat,2469
Koppal,Cabbage,928
Koppal,Carrot,1069
Koppal,Cauliflower,3285
Koppal,Coconut,3402
Koppal,Ginger(Green),11263
Koppal,Green Peas,3086
Koppal,Marigold(Calcutta),3211
Koppal,Marigold(loose),1613
Koppal,Pineapple,2061
Koppal,Potato,2714
Koppal,Raddish,2382
Koppal,Rose(Local),638
Koppal,Rubber,3271
Koppal,Seemebadnekai,1299
Koppal,Spinach,2435
Koppal,Sweet Potato,3399
Koppal,Turmeric,7152
Koppal,White Peas,2222
Koppal,Beans,2188
Koppal,Jute,895
Koppal,Paddy(Basmati),2549
Koppal,Paddy(Common),2235
Koppal,Pointed gourd(Parval),2612
Koppal,Rice,2109
Mandya,Bajra(Pearl Millet/Cumbu),5041
Mandya,Banana,3804
Mandya,Bhindi(Ladies Finger),1149
Mandya,Bitter gourd,1943
Mandya,Bottle gourd,3446
Mandya,Brinjal,1940
Mandya,Capsicum,2532
Mandya,Cucumber(Kheera),1765
Mandya,Green Avare(W),3249
Mandya,Green Chilli,1735
Mandya,Groundnut,821
Mandya,Guava,2297
Mandya,Jowar(Sorghum),4828
Mandya,Karbuja(Musk Melon),1559
Mandya,Lemon,895
Mandya,Maize,2247
Mandya,Mango,2544
Mandya,Mango(Raw-Ripe),3031
Mandya,Millets,4222
Mandya,Mustard,2276
Mandya,Onion,3133
Mandya,Onion Green,3107
Mandya,Orange,1968
Mandya,Papaya,2879
Mandya,Papaya(Raw),1379
Mandya,Pomegranate,2418
Mandya,Pumpkin,2035
Mandya,Red Gram,8057
Mandya,Ridgegourd(Tori),1490
Mandya,Round gourd,1886
Mandya,Season Leaves,2162
Mandya,"Sesamum(Sesame,Gingelly,Til)",888
Mandya,Snakegourd,3278
Mandya,Soanf,1392
Mandya,Soyabean,2843
Mandya,Sponge gourd,723
Mandya,Sugarcane,349
Mandya,Surat Beans(Papadi),577
Mandya,Sweet Pumpkin,1993
Mandya,Tamarind Fruit,920
Mandya,Tender Coconut,599
Mandya,Thondekai,3207
Mandya,Tomatao,2622
Mandya,Water Melon,2016
Mandya,Wheat,2662
Mandya,Cabbage,2707
Mandya,Carrot,1097
Mandya,Cauliflower,2939
Mandya,Coconut,637
Mandya,Ginger(Green),11375
Mandya,Green Peas,1755
Mandya,Marigold(Calcutta),2514
Mandya,Marigold(loose),2889
Mandya,Pineapple,2714
Mandya,Potato,729
Mandya,Raddish,3147
Mandya,Rose(Local),2569
Mandya,Rubber,1605
Mandya,Seemebadnekai,2575
Mandya,Spinach,2509
Mandya,Sweet Potato,2775
Mandya,Turmeric,9784
Mandya,White Peas,781
Mandya,Beans,2950
Mandya,Jute,1131
Mandya,Paddy(Basmati),2543
Mandya,Paddy(Common),2302
Mandya,Pointed gourd(Parval),2240
Mandya,Rice,2262
Mysuru (Mysore),Bajra(Pearl Millet/Cumbu),4910
Mysuru (Mysore),Banana,2443
Mysuru (Mysore),Bhindi(Ladies Finger),2556
Mysuru (Mysore),Bitter gourd,2744
Mysuru (Mysore),Bottle gourd,1150
Mysuru (Mysore),Brinjal,3385
Mysuru (Mysore),Capsicum,1463
Mysuru (Mysore),Cucumber(Kheera),858
Mysuru (Mysore),Green Avare(W),2535
Mysuru (Mysore),Green Chilli,3185
Mysuru (Mysore),Groundnut,2963
Mysuru (Mysore),Guava,2009
Mysuru (Mysore),Jowar(Sorghum),5234
Mysuru (Mysore),Karbuja(Musk Melon),1875
Mysuru (Mysore),Lemon,2295
Mysuru (Mysore),Maize,2507
Mysuru (Mysore),Mango,3360
Mysuru (Mysore),Mango(Raw-Ripe),4010
Mysuru (Mysore),Millets,4377
Mysuru (Mysore),Mustard,1741
Mysuru (Mysore),Onion,1385
Mysuru (Mysore),Onion Green,1387
Mysuru (Mysore),Orange,2108
Mysuru (Mysore),Papaya,2189
Mysuru (Mysore),Papaya(Raw),868
Mysuru (Mysore),Pomegranate,2299
Mysuru (Mysore),Pumpkin,3178
Mysuru (Mysore),Red Gram,7778
Mysuru (Mysore),Ridgegourd(Tori),900
Mysuru (Mysore),Round gourd,3449
Mysuru (Mysore),Season Leaves,676
Mysuru (Mysore),"Sesamum(Sesame,Gingelly,Til)",3023
Mysuru (Mysore),Snakegourd,1500
Mysuru (Mysore),Soanf,2641
Mysuru (Mysore),Soyabean,1494
Mysuru (Mysore),Sponge gourd,1490
Mysuru (Mysore),Sugarcane,360
Mysuru (Mysore),Surat Beans(Papadi),2307
Mysuru (Mysore),Sweet Pumpkin,2409
Mysuru (Mysore),Tamarind Fruit,1211
Mysuru (Mysore),Tender Coconut,3204
Mysuru (Mysore),Thondekai,1097
Mysuru (Mysore),Tomatao,1928
Mysuru (Mysore),Water Melon,3286
Mysuru (Mysore),Wheat,2270
Mysuru (Mysore),Cabbage,850
Mysuru (Mysore),Carrot,1381
Mysuru (Mysore),Cauliflower,972
Mysuru (Mysore),Coconut,3023
Mysuru (Mysore),Ginger(Green),11691
Mysuru (Mysore),Green Peas,647
Mysuru (Mysore),Marigold(Calcutta),1596
Mysuru (Mysore),Marigold(loose),2931
Mysuru (Mysore),Pineapple,3530
Mysuru (Mysore),Potato,2423
Mysuru (Mysore),Raddish,2371
Mysuru (Mysore),Rose(Local),3354
Mysuru (Mysore),Rubber,3445
Mysuru (Mysore),Seemebadnekai,2838
Mysuru (Mysore),Spinach,1457
Mysuru (Mysore),Sweet Potato,1955
Mysuru (Mysore),Turmeric,8183
Mysuru (Mysore),White Peas,1404
Mysuru (Mysore),Beans,537
Mysuru (Mysore),Jute,1796
Mysuru (Mysore),Paddy(Basmati),2316
Mysuru (Mysore),Paddy(Common),2407
Mysuru (Mysore),Pointed gourd(Parval),1679
Mysuru (Mysore),Rice,2478
Raichur,Bajra(Pearl Millet/Cumbu),4573
Raichur,Banana,2825
Raichur,Bhindi(Ladies Finger),3009
Raichur,Bitter gourd,1287
Raichur,Bottle gourd,2283
Raichur,Brinjal,1011
Raichur,Capsicum,2492
Raichur,Cucumber(Kheera),2217
Raichur,Green Avare(W),1644
Raichur,Green Chilli,759
Raichur,Groundnut,629
Raichur,Guava,2901
Raichur,Jowar(Sorghum),4758
Raichur,Karbuja(Musk Melon),2636
Raichur,Lemon,2372
Raichur,Maize,2117
Raichur,Mango,4105
Raichur,Mango(Raw-Ripe),3478
Raichur,Millets,4869
Raichur,Mustard,1213
Raichur,Onion,2770
Raichur,Onion Green,1703
Raichur,Orange,2354
Raichur,Papaya,1952
Raichur,Papaya(Raw),1162
Raichur,Pomegranate,3108
Raichur,Pumpkin,1018
